passage_id,question,passage
2004_880_111,Kto sporządza projekt krajowej strategii ochrony i zrównoważonego użytkowania różnorodności biologicznej?,"Art. 111. 1. Minister właściwy do spraw środowiska sporządza projekt krajowej strategii ochrony i zrównoważonego użytkowania różnorodności biologicznej wraz z projektem programu działań. 2. Krajową strategię ochrony i zrównoważonego użytkowania różnorodności biologicznej, wraz z programem działań, zatwierdza, w drodze uchwały, Rada Ministrów."
2003_2255_209,"Jakiej karze podlega osoba, która uporczywie uchyla się od wykonania ciążącego na niej z mocy ustawy lub orzeczenia sądowego obowiązku opieki przez niełożenie na utrzymanie osoby najbliższej i przez to narażając ją na niemożność zaspokojenia podstawowych potrzeb życiowych?","Art. 209. § 1. Kto uporczywie uchyla się od wykonania ciążącego na nim z mocy ustawy lub orzeczenia sądowego obowiązku opieki przez niełożenie na utrzymanie osoby najbliższej lub innej osoby i przez to naraża ją na niemożność zaspokojenia podstawowych potrzeb życiowych, podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2. § 2. Ściganie następuje na wniosek pokrzywdzonego, organu pomocy społecznej lub organu udzielającego odpowiedniego świadczenia rodzinnego. § 3. Jeżeli pokrzywdzonemu przyznano odpowiednie świadczenie rodzinne, ściganie odbywa się z urzędu.""."
2004_177_61,Czym są negocjacje bez ogłoszenia?,"Art. 61. Negocjacje bez ogłoszenia to tryb udzielenia zamówienia, w którym zamawiający negocjuje warunki umowy w sprawie zamówienia publicznego z wybranymi przez siebie wykonawcami, a następnie zaprasza ich do składania ofert."
2003_845_6,Czy prawo do wykonywania zawodu lekarza było kiedyś równoważne prawu do wykonywania zawodu stomatologa?,"Art. 6. Wydane przed wejściem w życie ustawy dokumenty ""Prawo wykonywania zawodu lekarza stomatologa"" i ""Ograniczone prawo wykonywania zawodu lekarza stomatologa"" są równoważne z dokumentami ""Prawo wykonywania zawodu lekarza dentysty"" i ""Ograniczone prawo wykonywania zawodu lekarza dentysty""."
2000_1156_29,Rozdział V jakiej konwencji był uwzględniony we szczegółowych warunkach bezpiecznego uprawniania żeglugi?,"Art. 29. 1. Minister właściwy do spraw gospodarki morskiej, w porozumieniu z ministrem właściwym do spraw wewnętrznych, określi, w drodze rozporządzenia, szczegółowe warunki bezpiecznego uprawiania żeglugi uwzględniając postanowienia rozdziału V Konwencji SOLAS. 2. Minister Obrony Narodowej może, w drodze rozporządzenia, poddać jednostki pływające Marynarki Wojennej wszystkim lub niektórym postanowieniom rozdziału V Konwencji SOLAS, kierując się względami bezpiecznego uprawiania żeglugi oraz charakterem wykonywanych zadań przez te jednostki. 3. Minister właściwy do spraw gospodarki morskiej określi, w drodze rozporządzenia, sposób oznakowania nawigacyjnego polskich obszarów morskich, z uwzględnieniem obowiązujących systemów tego oznakowania."
1997_153_27,Czy nieopłacanie w terminie składek na ubezpieczenie zdrowotne kasa powszechnego ubezpieczenia zdrowotnego jest bezkarne?,Art. 27. Od nieopłaconych w terminie składek na ubezpieczenie zdrowotne kasa powszechnego ubezpieczenia zdrowotnego pobiera odsetki za zwłokę na zasadach i w wysokości określonych przepisami o zobowiązaniach podatkowych.
1995_446_35,Czy środki ochrony roślin mogą być nakładane poprzez niesprawny technicznie sprzęt?,"Art. 35. 1. Środki ochrony roślin należy stosować tylko sprzętem sprawnym technicznie, który użyty zgodnie z przeznaczeniem zapewni skuteczne zwalczanie organizmów szkodliwych i nie spowoduje szkodliwego wpływu na zdrowie ludzi i zwierząt oraz środowisko. 2. Zabiegi w zakresie stosowania środków ochrony roślin w produkcji towarowej mogą być wykonywane tylko przez osoby przeszkolone przez jednostki organizacyjne upoważnione przez wojewódzkiego inspektora i posiadające świadectwo ukończenia szkolenia."
1994_195_27,Kiedy wynalazek uznajemy za nadający się do wykorzystania w przemyśle?,"Art. 27. Wynalazek uważany jest za nadający się do przemysłowego stosowania, jeżeli według wynalazku może być uzyskiwany wytwór lub wykorzystywany sposób, w rozumieniu technicznym, w jakiejkolwiek działalności przemysłowej, nie wykluczając rolnictwa."
1995_1_43,Czy Ochotnicze Hufce Pracy zajmują się młodzieżą zaniedbaną wychowawczo?,"Art. 43. Do zadań Ochotniczych Hufców Pracy należy w szczególności: 1) organizowanie zatrudnienia młodzieży, 2) tworzenie warunków uzyskiwania i podwyższania kwalifikacji zawodowych i ogólnych oraz przekwalifikowania zawodowego młodzieży, 3) udzielanie pomocy młodzieży zaniedbanej wychowawczo i wymagającej specjalnej troski."
2003_1939_114,Jak nazywa się najwyższa samorządowa organizacja ruchu spółdzielczego?,Art. 114. § 1. Rada Spółdzielcza jest najwyższą samorządową organizacją ruchu spółdzielczego. § 2. W Radzie Spółdzielczej zrzeszone są wszystkie spółdzielnie zarejestrowane w Rzeczypospolitej Polskiej.
2003_2275_404,Na czyj wniosek osoba małoletnia może być zwolniona przez policję?,"Art. 404. Osoba małoletnia doprowadzona do izby wytrzeźwień, placówki lub jednostki Policji może być zwolniona, niezwłocznie po udzieleniu jej niezbędnych świadczeń zdrowotnych, na pisemny wniosek rodziców lub opiekunów.”; 6) art. 41 i 42 otrzymują brzmienie: „"
1994_627_5,Gdzie mieści się siedziba Agencji Budowy i Eksploatacji Autostrad?,"Art. 5. 1. Tworzy się Agencję Budowy i Eksploatacji Autostrad, zwaną dalej ""Agencją"". Agencja jest państwową osobą prawną. 2. Siedzibą Agencji jest miasto stołeczne Warszawa."
2000_1118_5,"Czy osoba, która deklaruje narodowość polską i posiadała w przeszłości obywatelstwo polskie jest uznawana za osobę polskiego pochodzenia?","Art. 5. 1. Za osobę polskiego pochodzenia, w rozumieniu niniejszej ustawy, uznaje się osobę deklarującą narodowość polską i spełniającą łącznie następujące warunki: 1) co najmniej jedno z jej rodziców lub dziadków albo dwoje pradziadków było narodowości polskiej, 2) wykaże ona swój związek z polskością, w szczególności przez pielęgnowanie polskiej mowy, polskich tradycji i zwyczajów. 2. Za osobę polskiego pochodzenia uznaje się również osobę deklarującą narodowość polską, która posiadała w przeszłości obywatelstwo polskie lub co najmniej jedno z jej rodziców lub dziadków albo dwoje pradziadków posiadało obywatelstwo polskie oraz spełniającą warunek określony w ust. 1 pkt 2. 3. Warunek określony w ust. 1 pkt 1 uważa się za spełniony, jeżeli co najmniej jedno z rodziców lub dziadków albo dwoje pradziadków wnioskodawcy potwierdziło swoją przynależność do Narodu Polskiego przez, w szczególności, pielęgnowanie polskich tradycji i zwyczajów. 4. Decyzje w sprawach, o których mowa w ust. 1, wydaje konsul."
2004_880_62,Gdzie mogą być przekazywana zatrzymane żywe zwierzęta?,"Art. 62. 1. Koszty transportu oraz utrzymywania roślin lub zwierząt, o których mowa w art. 61 ust. 1, przewożonych przez granicę państwa bez zezwolenia i zatrzymanych przez organy celne, ponosi Skarb Państwa, a ich rozliczenia dokonuje wojewoda właściwy ze względu na położenie podmiotu, któremu zostały przekazane zatrzymane rośliny lub zwierzęta. 2. Zatrzymane żywe rośliny lub zwierzęta mogą być przekazywane do ogrodów botanicznych, ogrodów zoologicznych lub ośrodków rehabilitacji zwierząt. 3. Minister właściwy do spraw środowiska w porozumieniu z ministrem właściwym do spraw finansów publicznych określi, w drodze rozporządzenia, sposób postępowania z żywymi roślinami lub zwierzętami, o których mowa w ust. 1, oraz rozliczania kosztów, o których mowa w ust. 1, kierując się potrzebą zapewnienia właściwych warunków przetrzymania roślin i zwierząt."
2003_1750_65,Czy żołnierzom zawodowym - kobietom przysługuje urlop macierzyński?,"Art. 65. 1. Żołnierzom zawodowym - kobietom będącym w ciąży i po porodzie przysługuje urlop macierzyński na zasadach i w wymiarze określonych w przepisach ustawy z dnia 26 czerwca 1974 r. - Kodeks pracy (Dz.U. z 1998 r. Nr 21, poz. 94, z późn. zm.)[3]. 2. Zasad udzielania urlopu macierzyńskiego nie stosuje się do żołnierzy zawodowych - mężczyzn."
2003_2255_30,"Czy osoba, która pobrała nienależnie świadczenie rodzinne powinna je zwrócić?","Art. 30. 1. Osoba, która pobrała nienależnie świadczenia rodzinne, jest obowiązana do ich zwrotu. 2. Za nienależnie pobrane świadczenia rodzinne uważa się: 1) świadczenia rodzinne wypłacone mimo zaistnienia okoliczności powodujących ustanie lub zawieszenie prawa do świadczeń rodzinnych albo wstrzymanie wypłaty świadczeń rodzinnych w całości lub w części, jeżeli osoba pobierająca te świadczenia była pouczona o braku prawa do ich pobierania; 2) świadczenia rodzinne przyznane lub wypłacone na podstawie fałszywych zeznań lub dokumentów albo w innych przypadkach świadomego wprowadzenia w błąd przez osobę pobierającą te świadczenia. 3. Należności z tytułu nienależnie pobranych świadczeń rodzinnych ulegają przedawnieniu z upływem 3 lat, licząc od dnia uprawomocnienia się decyzji ustalającej te należności. 4. Bieg przedawnienia przerywa: odroczenie terminu płatności należności, rozłożenie spłaty należności na raty i każda inna czynność zmierzająca do ściągnięcia należności, jeżeli o czynności tej dłużnik został zawiadomiony. 5. Nie wydaje się decyzji o zwrocie nienależnie pobranych świadczeń rodzinnych, jeżeli od terminu ich pobrania upłynęło więcej niż 10 lat. 6. Kwoty nienależnie pobranych świadczeń rodzinnych ustalone prawomocną decyzją podlegają potrąceniu z wypłacanych świadczeń rodzinnych. 7. Nienależnie pobrane świadczenia rodzinne podlegają egzekucji w trybie przepisów o postępowaniu egzekucyjnym w administracji. 8. Kwoty świadczeń rodzinnych, o których mowa w ust. 2, podlegają zwrotowi łącznie z ustawowymi odsetkami. 9. Organ właściwy, który wydał decyzję w sprawie nienależnie pobranych świadczeń rodzinnych, może umorzyć kwotę nienależnie pobranych świadczeń rodzinnych w całości lub w części, odroczyć termin płatności albo rozłożyć na raty, jeżeli zachodzą szczególnie uzasadnione okoliczności dotyczące sytuacji rodziny."
2001_18_34,Jakiej ochronie podlegają obiekty jądrowe?,"Art. 34. 1. Do obiektów jądrowych należą w szczególności: 1) elektrownie, elektrociepłownie i ciepłownie jądrowe z energetycznymi reaktorami jądrowymi, 2) badawcze, doświadczalne i inne reaktory jądrowe, 3) obiekty przeznaczone do wytwarzania, przetwarzania, przechowywania i składowania materiałów jądrowych i paliwa jądrowego - od rozpoczęcia budowy do zakończenia ich likwidacji. 2. Obiekty jądrowe podlegają ochronie fizycznej."
1994_363_21,Czy nakłady poniesione przez gminę w okresie władania nieruchomością podlegają zwrotowi?,"Art. 21. 1. W terminie 6 miesięcy od dnia wejścia w życie ustawy rada gminy może zrzec się na rzecz Skarbu Państwa własności nieruchomości nabytej przed dniem wejścia w życie ustawy, jeżeli do tego czasu nie nabyły do nich praw osoby trzecie. Zrzeczenie następuje w formie oświadczenia złożonego wojewodzie. 2. Zrzeczenie się własności części nieruchomości zgodnie z ust. 1 wymaga zgody wojewody, jeżeli przez podział w zasadniczy sposób zostałyby naruszone jej funkcje jako całości. 3. Nakłady poniesione przez gminę w okresie władania nieruchomością nie podlegają zwrotowi."
2003_1939_81,Kto wybiera likwidatora spółdzielni?,"Art. 81. § 1. Likwidatora spółdzielni wybiera walne zgromadzenie, a w wypadku określonym w art. 75 - sąd. Likwidatorem może być osoba, która posiada kwalifikacje określone przez Radę Spółdzielczą. Likwidatorem może być także osoba prawna. § 2. Likwidatorem nie może być osoba, która wchodziła w skład zarządu spółdzielni w ciągu roku przed dniem otwarcia jej likwidacji. § 3. Umowę z likwidatorem o wykonanie czynności likwidacyjnych zawiera rada. W wypadku, gdy zwołanie rady napotyka poważne trudności, umowę z likwidatorem zawiera związek, działając w imieniu spółdzielni. § 4. Likwidator może być odwołany w każdej chwili przez organ, który go wyznaczył. Likwidatora może również odwołać z ważnych przyczyn związek rewizyjny, w którym spółdzielnia jest zrzeszona. § 5. Organ lub związek rewizyjny, który odwołuje likwidatora, jest obowiązany równocześnie wyznaczyć innego."
1997_251_19,Czy za użytkowanie wieczyste gruntów przez zakłady charytatywno-opiekuńcze pobiera się opłaty?,Art. 19. Nie pobiera się opłat za użytkowanie wieczyste gruntów oddanych na potrzeby zakładów charytatywno-opiekuńczych oraz placówek zajmujących się religijnym wychowaniem młodzieży.
2000_1319_9,Jaki organ wydaje decyzję o uznaniu praktyki za ograniczającą konkurencję?,"Art. 9. Prezes Urzędu Ochrony Konkurencji i Konsumentów, zwany dalej ""Prezesem Urzędu"", wydaje decyzję o uznaniu praktyki za ograniczającą konkurencję i nakazującą zaniechanie jej stosowania, jeżeli stwierdzi naruszenie zakazu określonego w art. 5, w zakresie niewyłączonym na podstawie art. 6 i 7, lub naruszenie art. 8."
2004_574_51,Komu podlegają okręgowi inspektorzy rybołówstwa morskiego?,"Art. 51. 1. Okręgowi inspektorzy rybołówstwa morskiego podlegają ministrowi właściwemu do spraw rolnictwa. 2. Okręgowych inspektorów rybołówstwa morskiego powołuje i odwołuje minister właściwy do spraw rolnictwa, po zasięgnięciu opinii właściwego miejscowo wojewody. 3. Zastępców okręgowych inspektorów rybołówstwa morskiego powołuje i odwołuje minister właściwy do spraw rolnictwa, na wniosek okręgowych inspektorów rybołówstwa morskiego. 4. Minister właściwy do spraw rolnictwa w porozumieniu z ministrem właściwym do spraw administracji publicznej określi, w drodze rozporządzenia, siedziby i terytorialny zakres działania okręgowych inspektorów rybołówstwa morskiego, mając na względzie zwiększenie efektywności działania tych organów."
2001_21_24,Dlaczego park krajobrazowy podlega ochronie?,"Art. 24. 1. Park krajobrazowy jest obszarem chronionym ze względu na wartości przyrodnicze, historyczne i kulturowe, a celem jego utworzenia jest zachowanie, popularyzacja i upowszechnianie tych wartości w warunkach zrównoważonego rozwoju. 2. Grunty rolne, leśne i inne nieruchomości znajdujące się w granicach parku krajobrazowego pozostawia się w gospodarczym wykorzystaniu. 3. Wokół parku krajobrazowego może być utworzona otulina. 4. Utworzenie parku krajobrazowego następuje, w drodze rozporządzenia wojewody, po uzgodnieniu z właściwymi miejscowo organami zainteresowanych jednostek samorządu terytorialnego. 5. Wojewoda określa w rozporządzeniu nazwę parku krajobrazowego, obszar parku i otuliny, jeżeli została utworzona oraz wybiera właściwe dla danego parku krajobrazowego zakazy spośród wymienionych w art. 26a ust. 1, kierując się potrzebą ochrony przyrody.""; 23) dodaje się art. 24a - 24c w brzmieniu: """
1994_602_4,W jakim momencie na giełdzie powstaje obowiązek podatkowy?,"Art. 4. Obowiązek podatkowy powstaje: 1) w obrocie giełdowym - z chwilą zapłacenia ceny, 2) w pozostałych przypadkach - z chwilą zawarcia umowy."
