passage_id,question,passage
2001_638_25,"Jakiej karze podlega ten, kto nie zwraca sprzedawcy opakowania po substancji toksycznej?","Art. 25.
Kto, będąc użytkownikiem substancji chemicznej bardzo toksycznej, toksycznej,
rakotwórczej, mutagennej lub niebezpiecznej dla środowiska nie zwraca sprzedawcy
opakowania wielokrotnego użytku i odpadów opakowaniowych po tej substancji
    podlega karze grzywny."
2003_2276_54,Ile dni jest na złożenie wniosku o uzupełnienie materiałów zebranych w postępowaniu dyscyplinarnym?,"Art. 54.
Jeżeli rzecznik
dyscyplinarny uzna, że zostały wyjaśnione wszystkie istotne okoliczności
popełnienia przewinienia dyscyplinarnego, zawiadamia obwinionego i jego obrońcę,
o terminie i miejscu zapoznania się z całością materiałów zebranych w postępowaniu
dyscyplinarnym oraz poucza o prawie złożenia w terminie trzech dni, od dnia
tego zapoznania, wniosku o ich uzupełnienie."
2002_1070_44,"Na jakich zasadach otrzymuje odszkodowanie funkcjonariusz, który doznał uszczerbku na zdrowiu?","Art. 44.
Funkcjonariusz,
który w związku ze służbą doznał uszczerbku na zdrowiu lub poniósł szkodę w
mieniu, otrzymuje odszkodowanie w trybie i na zasadach określonych dla
żołnierzy zawodowych."
1995_446_44,Jakie przepisy stosuje się do obowiązków wynikających z decyzji organów inspekcji?,"Art. 44.
 1. W postępowaniu administracyjnym organem I instancji jest wojewódzki inspektor,
   a organem wyższego stopnia jest Główny Inspektor.
 2. Do obowiązków wynikających z decyzji organów Inspekcji stosuje się przepisy
   o postępowaniu egzekucyjnym w administracji.
 3. Organy Inspekcji używają pieczęci okrągłej z wizerunkiem orła."
1996_199_10,W jakim terminie organy państwowe podejmują czynności po przeprowadzeniu referendum?,"Art. 10.
Właściwe organy państwowe podejmują niezwłocznie czynności dla realizacji 
wyniku referendum poprzez wydanie aktów prawnych bądź podjęcie innych 
decyzji, nie później jednak niż w terminie 60 dni od dnia ogłoszenia uchwały 
Sądu Najwyższego o ważności referendum w Dzienniku Ustaw Rzeczypospolitej
Polskiej."
1996_460_97,Kto i w jakiej drodze określa zasady kontroli płatników składek?,"Art. 97.
Rada Ministrów, w drodze rozporządzenia, określi szczegółowe zasady i tryb
przeprowadzania kontroli płatników składek."
2004_1535_50,Jakie dane wpisuje się w ewidencjach paszportowych?,"Art. 50.
W ewidencjach
paszportowych wpisuje się dane określone w art. 18 ust. 1 i art. 25 oraz:
1)   datę złożenia
wniosku o wydanie dokumentu paszportowego;
2)   informację o
odmowie wydania dokumentu paszportowego z powodów, o których mowa w art. 17
ust. 1;
3)   datę wydania
decyzji i przyczynę unieważnienia dokumentu paszportowego;
4)   datę utraty
ważności dokumentu paszportowego;
5)   numer akt
sprawy o wydanie dokumentu paszportowego."
1997_557_30,Kto reprezentuje Skarb Państwa w sprawach wytoczonych przeciwko niemu?,"Art. 30.
W sprawach wytoczonych przeciwko Skarbowi Państwa reprezentuje go prezes 
sądu wojewódzkiego lub urząd skarbowy w sprawach, w których wykonał wyrok
w zakresie orzeczonego nim przepadku przedmiotów."
2004_879_12,Ile maksymalnie może pracować kierowca w tygodniu?,"Art. 12.
1. Tygodniowy czas pracy kierowcy, łącznie z godzinami nadliczbowymi, nie może
  przekraczać przeciętnie 48 godzin w przyjętym okresie rozliczeniowym
  nieprzekraczającym 4 miesięcy.
2. Tygodniowy czas pracy, o którym mowa w ust. 1, może być przedłużony do 60
  godzin, jeżeli średni tygodniowy czas pracy nie przekroczy 48 godzin w
  przyjętym okresie rozliczeniowym nieprzekraczającym 4 miesięcy.
3. Wymiar czasu pracy określony w ust. 1 i 2 obowiązuje także kierowcę
  zatrudnionego u więcej niż jednego pracodawcy."
1997_555_371,Kto nie może być obecny przy przesłuchaniu świadka?,"Art. 371.
 § 1. Przy przesłuchaniu świadka nie powinni być obecni świadkowie, którzy 
     jeszcze nie zostali przesłuchani.
 § 2. Przewodniczący powinien przedsiębrać środki zapobiegające porozumiewaniu
     się osób przesłuchanych z osobami, które  jeszcze nie zostały 
     przesłuchane."
