passage_id,question,passage
2003_1750_41,"Co należy rozumieć przez uposażenie, o którym mowa w ust. 1?","1. Z uposażenia żołnierza odbywającego nadterminową zasadniczą              służbę wojskową mogą być dokonywane potrącenia w granicach i na              zasadach określonych w przepisach szczególnych stosowanych do              wynagrodzeń za pracę, z zastrzeżeniem ust. 2 i 3 oraz art. 43.          2. Przez uposażenie, o którym mowa w ust. 1, należy rozumieć            uposażenie zasadnicze i dodatki do uposażenia zasadniczego,            wymienione w art. 30, odprawę, o której mowa w art. 32 ust. 2, i            ekwiwalent pieniężny za niewykorzystany urlop wypoczynkowy,            wymieniony w art. 32a.          3. Odprawa z tytułu zwolnienia z nadterminowej zasadniczej służby            wojskowej, o której mowa w art. 32 ust. 2, podlega egzekucji            wyłącznie na zaspokojenie zaległych świadczeń alimentacyjnych, z            uwzględnieniem ograniczeń wynikających z ust. 1."
1998_577_7,Kto jest przedstawicielem Rady Ministrów w województwie?,"Wojewoda jest:    1) przedstawicielem Rady Ministrów w województwie,    2) zwierzchnikiem zespolonej administracji rządowej,    3) organem nadzoru nad jednostkami samorządu terytorialnego,    4) organem wyższego stopnia w rozumieniu przepisów o postępowaniu      administracyjnym,    5) reprezentantem Skarbu Państwa, w zakresie i na zasadach określonych w      odrębnych ustawach."
1999_154_52,Kiedy zostaną wydane akty wykonawcze o których mowa w art. 21 ust. 2?,"Akty wykonawcze, o których mowa w art. 21 ust. 2, art. 36 ust. 3 oraz art. 37 ust. 1 i 2 zostaną wydane nie później, niż w ciągu dwóch miesięcy od dnia wejścia w życie ustawy."
1998_1118_142,Co stosuje się w zakresie nie uregulowanym w art. 139-141 do egzekucji ze świadczeń pieniężnych?,W zakresie nie uregulowanym w art. 139-141 do egzekucji ze świadczeń pieniężnych stosuje się odpowiednio przepisy Kodeksu postępowania cywilnego albo przepisy o postępowaniu egzekucyjnym w administracji.
2001_1381_90,Kto może być zatrudniony przy wykonywaniu w aptece czynności fachowych?,Przy wykonywaniu w aptece czynności fachowych mogą być zatrudnieni wyłącznie farmaceuci i technicy farmaceutyczni w granicach ich uprawnień zawodowych.
1997_933_109,Czemu równa jest cena emisyjna certyfikatów inwestycyjnych drugiej i następnych emisji?,"1. Cena emisyjna certyfikatów inwestycyjnych drugiej i następnych emisji jest     równa wartości aktywów netto funduszu przypadającej na certyfikat inwestycyjny,    według wyceny aktywów z dnia zbywania certyfikatów. Cena certyfikatu    może być powiększona o opłatę, o której mowa w art. 26 ust. 4.  2. Cena wykupu certyfikatów inwestycyjnych jest równa wartości aktywów     netto funduszu, przypadającej na certyfikat inwestycyjny, według wyceny     aktywów z dnia wykupienia. Cena ta może być pomniejszona o opłatę, o     której mowa w art. 26 ust. 4."
2001_246_36,"Ile wynosi łączna kwota wpłat gmin, o której mowa w art. 23 ustawy z dnia 26 listopada 1998 r.?","Łączna kwota wpłat gmin, o której mowa w art. 23 ustawy z dnia 26 listopada 1998 r. o dochodach jednostek samorządu terytorialnego w latach 1999-2001 (Dz.U. Nr 150, poz. 983 i Nr 162, poz. 1119 oraz z 2000 r. Nr 95, poz. 1041) - wynosi 180.000 tys. zł."
1997_777_8,10,"1. Środki Funduszu Rozwoju przeznacza się na finansowanie działań w zakresie    resocjalizacji osób pozbawionych wolności, a w szczególności na:     1) tworzenie nowych miejsc pracy dla osób pozbawionych wolności,     2) tworzenie w zakładach karnych infrastruktury niezbędnej dla działań        resocjalizacyjnych,     3) modernizację przywięziennych zakładów pracy i ich produkcji,     4) organizowanie nauki zawodu i doskonalenia zawodowego dla osób        pozbawionych wolności,     5) organizowanie szkolenia w zakresie aktywizacji zawodowej i umiejętności       poszukiwania pracy.  2. Ze środków Funduszu Rozwoju mogą być przyznawane pożyczki bądź dotacje    przywięziennym zakładom pracy zatrudniającym osoby pozbawione     wolności.  3. Minister Sprawiedliwości określi, w drodze rozporządzenia, zasady i tryb     przyznawania pożyczek bądź dotacji przywięziennym zakładom pracy ze     środków, o których mowa w ust. 2."
1997_555_591,13,"§ 1. W sprawie o przestępstwo popełnione na terytorium Rzeczypospolitej       Polskiej przez cudzoziemca, Minister Sprawiedliwości zwraca się, jeżeli       wymaga tego interes wymiaru sprawiedliwości, do właściwego organu       państwa:        1) którego osoba ścigana jest obywatelem,        2) w którym osoba ścigana ma stałe miejsce zamieszkania,        3) w którym osoba ścigana odbywa lub będzie odbywała karę pozbawienia          wolności,        4) w którym zostało wszczęte przeciwko osobie ściganej postępowanie          karne     - z wnioskiem o przejęcie ścigania karnego albo może przyjąć taki       wniosek od właściwego organu państwa obcego.  § 2. Jeżeli pokrzywdzonym jest obywatel polski, złożenie wniosku o przejęcie      ścigania może nastąpić tylko za jego zgodą.  § 3. Przed rozstrzygnięciem wniosku osoba ścigana przebywająca na terytorium      Rzeczypospolitej Polskiej ma prawo do wysłuchania jej przez właściwy      organ, o czym należy ją pouczyć.  § 4. W razie pozytywnego rozstrzygnięcia wniosku o przejęcie ścigania, Minister      Sprawiedliwości zarządza niezwłoczne przekazanie osoby ściganej,      jeżeli jest tymczasowo aresztowana, wraz z aktami sprawy, właściwemu      organowi państwa obcego.  § 5. Minister Sprawiedliwości zwraca się do właściwego organu państwa obcego      o informację co do sposobu prawomocnego zakończenia postępowania      karnego.  § 6. Przekazanie ścigania karnego uważa się za umorzenie postępowania       karnego według prawa polskiego; nie stoi to na przeszkodzie ponownemu      postępowaniu karnemu w razie bezpodstawnego zaniechania ścigania      za granicą."
2001_1088_3,15,Nadzór nad Akademią sprawuje minister właściwy do spraw szkolnictwa wyższego.
1998_602_33,18,"1. Osoby, którym przysługuje prawo wybierania wpisuje się do spisu   wyborców. 2. Wyborca może być wpisany tylko do jednego spisu."
2003_1750_103,23,"1. Z uposażenia żołnierza zawodowego mogą być dokonywane potrącenia w granicach   i na zasadach określonych w przepisach o wynagrodzeniu za pracę, z   zastrzeżeniem ust. 2-4. 2. Przez uposażenie, o którym mowa w ust. 1, należy rozumieć uposażenie   wymienione w art. 72 ust. 1, dodatkowe uposażenie roczne, o którym mowa w   art. 83, dodatkowe wynagrodzenie, o którym mowa w art. 88, odprawę z tytułu   zwolnienia z zawodowej służby wojskowej, o której mowa w art. 94, i   należności pieniężne wymienione w art. 95 pkt 1 i 2. 3. Odprawa z tytułu zwolnienia z zawodowej służby wojskowej, o której mowa w   art. 94, podlega egzekucji wyłącznie na zaspokojenie zaległych świadczeń   alimentacyjnych, z uwzględnieniem ograniczeń wynikających z ust. 1. 4. Przepisów ust. 1 i 2 nie stosuje się do zaliczek pobranych przez żołnierza   zawodowego do rozliczenia, które potrąca się z uposażenia, i innych   należności, o których mowa w art. 73, w pełnej wysokości, niezależnie od   potrąceń dokonywanych z innych tytułów."
1999_154_42,29,"Łączna kwota wpłat gmin, o której mowa w art. 23 ust. 3 ustawy z dnia 26 listopada 1998 r. o dochodach jednostek samorządu terytorialnego w latach 19992000 (Dz.U. Nr 150, poz. 983 i Nr 162, poz. 1118) - wynosi 142.158 tys. zł."
