question;passage_id;passage
Czy skazany który nie ukończył 18 lat musi mieć obrońcę?;1997_557.txt:Art.8;Art. 8.  § 1. W postępowaniu wykonawczym skazany może korzystać z pomocy obrońcy  ustanowionego w tym postępowaniu lub pełnomocnika.  § 2. W postępowaniu przed sądem skazany musi mieć obrońcę  jeżeli:  1) jest głuchy  niemy lub niewidomy   2) zachodzi uzasadniona wątpliwość co do jego poczytalności   3) nie ukończył 18 lat   4) nie włada językiem polskim.  § 3. Skazany pozbawiony wolności może porozumiewać się ze swoim obrońcą  lub pełnomocnikiem będącym adwokatem podczas nieobecności innych  osób oraz korespondencyjnie lub telefonicznie.  Rozdział IV  Postępowanie wykonawcze  Oddział 1  Wykonywanie orzeczeń  
Czy Minister Edukacji sprawuje nadzór nad sądami wojskowymi?;1997_753.txt:Art.5;Art. 5. § 1. Nadzór nad działalnością sądów wojskowych w zakresie orzekania sprawuje  Sąd Najwyższy. § 2. Zwierzchni nadzór nad sądami wojskowymi w zakresie organizacji i działalności  administracyjnej sprawuje Minister Sprawiedliwości. § 3. Nadzór w zakresie czynnej służby wojskowej żołnierzy pełniących służbę w sądach wojskowych sprawuje Minister Obrony Narodowej. § 4. Zadania zwierzchniego nadzoru  o którym mowa w § 2  wykonuje komórka  organizacyjna Ministerstwa Sprawiedliwości w randze departamentu. § 5. Dyrektora departamentu  o którym mowa w § 4  powołuje i odwołuje Minister Sprawiedliwości w porozumieniu z Ministrem Obrony Narodowej  spośród sędziów wojskowych sądów okręgowych. § 6. Sędziów na stanowiska służbowe w departamencie  o którym mowa w § 4  powołuje i odwołuje Minister Sprawiedliwości w porozumieniu z Ministrem  Obrony Narodowej.  
Czy ceny i stawki określone w taryfie są stałe dla wszystkich grup odbiorców?;1997_884.txt:Art.20;Art. 20. 1. Przedsiębiorstwo wodociągowo-kanalizacyjne określa taryfę na 1 rok. 2. Przedsiębiorstwo wodociągowo-kanalizacyjne określa taryfę na podstawie  niezbędnych przychodów po dokonaniu ich alokacji na poszczególne taryfowe  grupy odbiorców usług. 3. Ceny i stawki opłat określone w taryfie są różnicowane dla poszczególnych  taryfowych grup odbiorców usług na podstawie udokumentowanych różnic kosztów  zbiorowego zaopatrzenia w wodę i zbiorowego odprowadzania ścieków. 4. Przedsiębiorstwa wodociągowo-kanalizacyjne ustalają niezbędne przychody   o których mowa w ust. 2  uwzględniając w szczególności:  1) koszty związane ze świadczeniem usług  poniesione w poprzednim roku  obrachunkowym  ustalone na podstawie ewidencji księgowej  z uwzględnieniem  planowanych zmian tych kosztów w roku obowiązywania taryfy   2) zmiany warunków ekonomicznych oraz wielkość usług i warunki ich  świadczenia   3) koszty wynikające z planowanych wydatków inwestycyjnych  na podstawie  planów  o których mowa w art. 21 ust. 1. 5. Ewidencja księgowa  o której mowa w ust. 4 pkt 1  powinna w szczególności  umożliwiać:  1) wydzielenie kosztów stałych i zmiennych  przychodów związanych z  poszczególnymi rodzajami działalności przedsiębiorstwa wodociągowo  kanalizacyjnego  a także w odniesieniu do poszczególnych taryf   2) ustalenie kosztów związanych z działalnością inwestycyjną w poprzednim  roku obrachunkowym   3) dokonanie alokacji niezbędnych przychodów według taryfowych grup  odbiorców usług.  
Kto określa zasady pocztowej kontroli dewizowej?;1998_1063.txt:Art.22;Art. 22. 1. Graniczną kontrolę dewizową wykonują organy administracji celnej i organy  Straży Granicznej na zasadach i w trybie kontroli celnej. 2. Minister Finansów w porozumieniu z Ministrem Spraw Wewnętrznych i  Administracji i Ministrem Łączności  w drodze rozporządzania  określi:  1) zakres  szczegółowe zasady i tryb granicznej oraz pocztowej kontroli  dewizowej niezależnie od zasad i trybu kontroli celnej   2) rodzaje dokumentów  o których mowa w art. 14 ust. 7 i 8  oraz przypadki   w których transfer określony w tych przepisach nie wymaga posiadania  dokumentów.  
Kiedy zostają założone gimnazja?;1999_96.txt:Art.11;Art. 11. 1. Osoby prawne i fizyczne  zamierzające założyć i prowadzić gimnazja  publiczne od dnia 1 września 1999 r.  powinny złożyć wnioski o udzielenie  zezwolenia nie później niż do dnia 31 maja 1999 r. 2. Osoby prawne i fizyczne  zamierzające założyć i prowadzić niepubliczne  gimnazja od dnia 1 września 1999 r.  powinny złożyć wnioski o wpis do  ewidencji nie później niż do dnia 31 maja 1999 r. 3. Gimnazja publiczne i niepubliczne założone z dniem 1 września 1999 r.  przez  osoby prawne i fizyczne otrzymują dotacje z budżetu gminy z dniem  rozpoczęcia działalności.  
Gdzie jest siedziba Uniwersytetu Warmińsko-Mazurskiego?;1999_762.txt:Art.1;"Art. 1. 1. Tworzy się z dniem 1 września 1999 r. Uniwersytet Warmińsko-Mazurski w  Olsztynie  zwany dalej ""Uniwersytetem"". 2. Siedzibą Uniwersytetu jest miasto Olsztyn. 3. Uniwersytet jest uczelnią państwową.  "
Kiedy Prezes Rady Ministrów może odstąpić od obowiązku ogłoszenia umowy międzynarodowej w Monitorze Polski?;2000_443.txt:Art.18;"Art. 18. 1. Ratyfikowana umowa międzynarodowa wraz z dotyczącymi jej oświadczeniami  rządowymi oraz umowa międzynarodowa  o której mowa w art. 13 ust. 2 pkt 1  oraz pkt 2 i 3  o ile stanowi umowę wykonawczą w stosunku do ratyfikowanej  umowy międzynarodowej lub zmienia ratyfikowaną umowę międzynarodową  jest  ogłaszana niezwłocznie  wraz z dotyczącymi jej oświadczeniami rządowymi  w  Dzienniku Ustaw Rzeczypospolitej Polskiej  zwanym dalej ""Dziennikiem Ustaw"". 2. Ogłoszenie innej niż ratyfikowana za uprzednią zgodą wyrażoną w ustawie  umowy międzynarodowej  o której mowa w ust. 1  zarządza Prezydent  Rzeczypospolitej Polskiej na wniosek ministra właściwego do spraw  zagranicznych. 3. Umowa międzynarodowa  inna niż wymieniona w ust. 1  jest ogłaszana wraz z  dotyczącymi jej oświadczeniami rządowymi  niezwłocznie w Dzienniku Urzędowym  Rzeczypospolitej Polskiej ""Monitor Polski""  zwanym dalej ""Monitorem  Polskim"". Ogłoszenie zarządza Prezes Rady Ministrów na wniosek ministra  kierującego działem administracji rządowej właściwego do spraw  których  dotyczy ta umowa. 4. Prezes Rady Ministrów  na wniosek ministra kierującego działem  administracji rządowej właściwego do spraw  których dotyczy umowa  międzynarodowa  może w wyjątkowych przypadkach  ze względu na istotny  interes państwa  w szczególności interes obronności  bezpieczeństwa państwa  i obywateli  odstąpić od obowiązku ogłoszenia tej umowy w Monitorze Polskim. 5. W uzasadnionych przypadkach  odpowiednio Prezydent Rzeczypospolitej  Polskiej lub Prezes Rady Ministrów mogą odstąpić od ogłoszenia w Dzienniku  Ustaw lub Monitorze Polskim dołączonego do umowy międzynarodowej aneksu lub  załącznika  jeżeli zawierają one szczegółowe przepisy o charakterze  specjalistycznym  niezastrzeżone do regulacji ustawowej  dotyczące  niewielkiej liczby podmiotów i nieodnoszące się do praw obywateli. W takim  przypadku oświadczenie rządowe  ogłoszone wraz z umową międzynarodową w  Dzienniku Ustaw lub Monitorze Polskim  zawiera informację o miejscu  udostępniania lub publikacji tekstu aneksu lub załącznika.  "
Do czego zobowiązana jest osoba która wprowadziła do obrotu nawozy niezgodnie z warunkami określonymi w art. 3?;2000_991.txt:Art.21;Art. 21. 1. Kto wprowadził do obrotu nawozy niezgodnie z warunkami  określonymi w art. 3 jest obowiązany do wycofania ich z obrotu  na własny koszt oraz do wniesienia na rachunek urzędu  skarbowego  właściwego ze względu na siedzibę lub miejsce  zamieszkania wprowadzającego do obrotu  opłaty sankcyjnej  stanowiącej 100% kwoty należnej za sprzedane nawozy. 2. Właściwy ze względu na siedzibę lub adres zamieszkania  wprowadzającego do obrotu nawozy wojewódzki inspektor skupu  i przetwórstwa artykułów rolnych stwierdza  w drodze decyzji   wprowadzenie nawozu do obrotu niezgodnie z warunkami  określonymi w art. 3 oraz określa termin jego wycofania z  obrotu  ilość sprzedanego nawozu oraz wysokość opłaty  sankcyjnej  o której mowa w ust. 1.  
Jak duża strefa wokół Pomnika Zagłady jest chroniona?;2000_1192.txt:Art.3;Art. 3. 1. Wokół Pomnika Zagłady ustanawia się strefę ochronną. 2. Strefę ochronną stanowi pas gruntu o szerokości nie większej niż 100 m od  granic Pomnika Zagłady.  
Jak Krajowy Komitet do Spraw Systemu Zbierania i Wykorzystywania Danych Rachunkowych z Gospodarstw Rolnych wydaje opinie?;2001_20.txt:Art.7;"Art. 7. 1. Tworzy się Krajowy Komitet do Spraw Systemu Zbierania i Wykorzystywania  Danych Rachunkowych z Gospodarstw Rolnych  zwany dalej ""Komitetem"". 2. Komitet jest organem opiniodawczo-doradczym ministra właściwego do spraw  rolnictwa. 3. Do zadań Komitetu należy:  1) opiniowanie planu wyboru reprezentatywnych gospodarstw rolnych  z których  będą zbierane dane rachunkowe   2) opiniowanie sprawozdań z realizacji planu wyboru reprezentatywnych  gospodarstw rolnych  z których będą zbierane dane rachunkowe   3) opiniowanie przygotowanej przez Instytut listy biur rachunkowych  z  którymi będzie zawierał umowy  o których mowa w art. 5 ust. 2. 4. W skład Komitetu wchodzą dwaj przedstawiciele ministra właściwego do spraw  rolnictwa i dwaj przedstawiciele ministra właściwego do spraw finansów  publicznych oraz przedstawiciel ministra właściwego do spraw rynków rolnych   ministra właściwego do spraw rozwoju regionalnego  przedstawiciel Prezesa  Głównego Urzędu Statystycznego  przedstawiciel Instytutu oraz przedstawiciel  Krajowej Rady Izb Rolniczych. 5. Członków Komitetu powołuje i odwołuje minister właściwy do spraw rolnictwa  na wniosek podmiotów  które reprezentują. 6. Członkowie Komitetu wybierają spośród siebie przewodniczącego i  wiceprzewodniczącego. 7. Opinie w sprawach  o których mowa w ust. 3  Komitet wydaje w drodze  jednogłośnie podejmowanych uchwał. 8. W przypadku gdy Komitet nie podejmie uchwały w terminie miesiąca od dnia  otrzymania do zaopiniowania sprawy dotyczącej zadań  o których mowa w ust. 3   opinię wydaje minister właściwy do spraw rolnictwa. 9. Posiedzenia Komitetu zwołuje jego przewodniczący. 10. Posiedzenia Komitetu prowadzi przewodniczący  a w razie jego nieobecności  wiceprzewodniczący. 11. Obsługę administracyjną prac Komitetu zapewnia urząd ministra właściwego do  spraw rolnictwa.  "
Jaka kwota dotacji została ustalona dla podręczników szkolnych do kształcenia zawodowego?;2001_246.txt:Art.19;Art. 19. Ustala się ogólną kwotę dotacji przedmiotowych do wyrobów i usług w wysokości 575.277 tys. zł  z tego na dopłaty do: 1) krajowych przewozów pasażerskich na wyrównanie przewoźnikom kolejowym utraconych przychodów z tytułu honorowania ustawowych uprawnień do ulgowych i bezpłatnych przejazdów  o których mowa w ustawie z dnia 20 czerwca 1992 r. o uprawnieniach do bezpłatnych i ulgowych przejazdów środkami publicznego transportu zbiorowego (Dz.U. Nr 54  poz. 254  z 1994 r. Nr 40  poz. 150  Nr 80  poz. 368 i Nr 113  poz. 547  z 1995 r. Nr 50  poz. 261  z 1996 r. Nr 100  poz. 460  z 1998 r. Nr 162  poz. 1126 oraz z 2000 r. Nr 12  poz. 136)  z wyłączeniem uprawnień  o których mowa w art. 43 ustawy z dnia 9 maja 1996 r. o wykonywaniu mandatu posła i senatora (Dz.U. Nr 73  poz. 350 i Nr 137  poz. 638  z 1997 r. Nr 28  poz. 153  Nr 98   poz. 604  Nr 106  poz. 679  Nr 121  poz. 770 i Nr 160  poz. 1080  z 1998 r. Nr 162  poz. 1118   z 1999 r. Nr 52  poz. 527 i 528 oraz z 2000 r. Nr 6  poz. 69)  przy czym kwota ta nie uwzględnia  podatku od towarów i usług 536.671 tys. zł 2) podręczników szkolnych do kształcenia zawodowego i podręczników akademickich 11.306 tys. zł  3) posiłków sprzedawanych w barach mlecznych 19.700 tys. zł   ciekłych 7.600 tys. zł.  
Kto tworzy Polską Izbę Rzeczników patentowych?;2001_509.txt:Art.7;Art. 7. 1. Ogół rzeczników patentowych i aplikantów rzecznikowskich tworzy Polską  Izbę Rzeczników Patentowych. 2. Polska Izba Rzeczników Patentowych reprezentuje jej członków i sprawuje  pieczę nad należytym wykonywaniem zawodu rzecznika patentowego w granicach  interesu publicznego oraz dla jego ochrony. 3. Polska Izba Rzeczników Patentowych ma osobowość prawną. Jej samodzielność  podlega ochronie sądowej. 4. Ilekroć w niniejszej ustawie jest mowa o samorządzie - rozumie się przez  to Polską Izbę Rzeczników Patentowych.  Rozdział 2  Wykonywanie zawodu rzecznika patentowego  
Czy Rzecznik patentowy jest zobowiązwany do opłacania składek?;2001_509.txt:Art.15;Art. 15. 1. Rzecznik patentowy obowiązany jest do opłacania  na warunkach określonych  w ustawie  składki na potrzeby samorządu  której wysokość ustala corocznie  Krajowa Rada Rzeczników Patentowych. 2. Rzecznicy patentowi wymienieni w art. 8 ust. 4 pkt 1 opłacają składkę na  potrzeby samorządu w wysokości 30 % składki  o której mowa w ust. 1.  
