question;passage_id;passage
Od jakiego dnia każdego roku nalicza się podwyższenie indywidualnych wynagrodzeń urzędników?;1998_1125_13;"1. Środki na wynagrodzenia zasadnicze urzędników ustala się:
   1) w pierwszym roku obowiązywania ustawy - przeciętnie w wysokości 35%
     wynagrodzenia zasadniczego sędziego sądu rejonowego,
   2) w drugim roku obowiązywania ustawy - przeciętnie w wysokości 40%
     wynagrodzenia zasadniczego sędziego sądu rejonowego,
   3) w trzecim roku obowiązywania ustawy - przeciętnie w wysokości 50%
     wynagrodzenia zasadniczego sędziego sądu rejonowego
   - z tym że w drugim i trzecim roku obowiązywania ustawy środki na
     wynagrodzenia zasadnicze urzędników podwyższa się o wartość składki na
     ubezpieczenia emerytalne i rentowe, o której mowa w art. 110 ustawy z dnia
     13 października 1998 r. o systemie ubezpieczeń społecznych (DZ. U. Nr
     137, poz. 887).
2. Podwyższenie indywidualnych wynagrodzeń urzędników nalicza się od dnia 1
  stycznia każdego roku."
Jakie są zadania gmin w ramach prac związanych ze spisem?;1995_5_11;"1. Zadania gmin w ramach prac związanych z organizacją i prowadzeniem 
   spisu obejmują:
    1) wynikający z przepisów o podziale zadań i kompetencji między organy 
      gminy a organy administracji rządowej obowiązek zaktualizowania:
       a) nazewnictwa ulic i placów oraz numeracji nieruchomości,
       b) ewidencji ludności,
    2) zadania zlecone z zakresu administracji rządowej zlecane niniejszą 
      ustawą:
       a) zaktualizowanie wykazów nieruchomości i mieszkań w wylosowanych
         obwodach spisowych,
       b) zorganizowanie przeprowadzenia we współdziałaniu z wojewódzkim
         urzędem statystycznym spisu na terenie gminy, w tym:
          - delegowanie pracowników urzędu gminy do prac spisowych i 
            na szkolenia organizowane przez wojewódzki urząd statystyczny,
          - werbunek kandydatów na rachmistrzów spisowych,
          - rozdział druków spisowych,
          - powiadamianie osób zamieszkałych w wylosowanych do spisu 
            mieszkaniach i gospodarstwach domowych,
          - nadzorowanie przebiegu spisu,
          - przyjmowanie od rachmistrzów spisowych formularzy spisowych,
          - kontrola kompletności formularzy w obwodach spisowych oraz 
            zapisów na formularzach spisowych i ich przekazanie do wojewódzkiego
            urzędu statystycznego.
 2. Nadzór merytoryczny nad realizacją zadań, o których mowa w ust. 1 pkt 2, 
   sprawuje dyrektor wojewódzkiego urzędu statystycznego województwa, na 
   którego terenie znajduje się gmina.
 3. Środki na wykonanie zadań, o których mowa w ust. 1 pkt 2, zostaną przekazane
   przez Główny Urząd Statystyczny za pośrednictwem wojewódzkich 
   urzędów statystycznych sukcesywnie, po zakończeniu kolejnych etapów 
   prac; ostateczne rozliczenie nastąpi w terminie do dnia 31 lipca 1995 r."
Co obowiązany jest mieć przy sobie kierowca pojazdu samochodowego podczas przejazdu wykonywanego w ramach transportu drogowego?;2001_1371_87;"1. Podczas przejazdu wykonywanego w ramach transportu drogowego kierowca
  pojazdu samochodowego, z zastrzeżeniem ust. 4, jest obowiązany mieć przy
  sobie i okazywać, na żądanie uprawnionego organu kontroli, wypis z licencji,
  dowód uiszczenia należnej opłaty za korzystanie z dróg krajowych, zapisy
  urządzenia rejestrującego samoczynnie prędkość jazdy, czas jazdy i czas
  postoju,  obowiązkowe przerwy i czas odpoczynku, a ponadto:
   1) w transporcie drogowym osób:
     a) przy wykonywaniu przewozów regularnych, przewozów regularnych
       specjalnych, przewozów wahadłowych lub okazjonalnych - odpowiednie
       zezwolenie,
     b) przy wykonywaniu przewozów okazjonalnych lub wahadłowych, a także
       przewozów na potrzeby własne - formularz jazdy,
   2) w transporcie drogowym rzeczy - dokumenty związane z przesyłką:
     a) odpowiednie zezwolenie wymagane w międzynarodowym transporcie drogowym,
     b) wymagane przy przewozie drogowym materiałów niebezpiecznych,
     c) świadectwo wymagane zgodnie z umową o międzynarodowych przewozach
       szybko psujących się artykułów żywnościowych i o specjalnych środkach
       transportu przeznaczonych do tych przewozów (ATP),
     d) zezwolenie na przejazd pojazdu, z ładunkiem lub bez ładunku, o  masie,
       naciskach osi lub wymiarach przekraczających wielkości określone w
       odrębnych przepisach,
     e) wymagane przy przewozie żywych zwierząt,
   3) w międzynarodowym transporcie drogowym rzeczy - wypis z wykazu numerów
     rejestracyjnych pojazdów samochodowych.
2. Podczas przewozu drogowego wykonywanego na potrzeby własne przedsiębiorcy
  kierowca pojazdu samochodowego, oprócz dokumentów określonych w ust. 1, jest
  obowiązany mieć przy sobie i okazywać, na żądanie uprawnionego organu
  kontroli, zaświadczenie lub wypis z zaświadczenia, o którym mowa w art. 33.
3. Przedsiębiorca jest odpowiedzialny za wyposażenie kierowcy wykonującego
  przewóz w wymagane dokumenty.
4. Podczas przejazdu wykonywanego w ramach transportu drogowego kierowca
  taksówki jest obowiązany mieć przy sobie i okazać na żądanie licencję."
Kogo minister właściwy do spraw transportu może upoważnić do wydawania zezwoleń zagranicznych?;2001_1371_26;"Minister właściwy do spraw transportu, mając na względzie usprawnienie procedur
wydawania zezwoleń zagranicznych, może upoważnić do wydawania tych dokumentów:
   1) w drodze zarządzenia - kierownika jednostki, o którym mowa w art. 17
     ust. 2, na określonych warunkach,
   2) w drodze rozporządzenia - polskie organizacje o zasięgu ogólnokrajowym
     zrzeszające międzynarodowych przewoźników drogowych, uwzględniając w
     szczególności właściwe zabezpieczenie tych dokumentów uniemożliwiające
     dostęp osób niepowołanych, wyposażenie pomieszczeń w urządzenia
     gwarantujące bezpieczeństwo przechowywanych dokumentów, ubezpieczenie od
     wszelkiego ryzyka oraz sposób rozliczania się w przypadku zaginięcia,
     zniszczenia lub utraty tych dokumentów."
Kto wchodzi w skład komisji rewizyjnej powoływanej przez radę powiatu?;1995_436_16;"1. Rada powiatu kontroluje działalność zarządu oraz powiatowych jednostek
  organizacyjnych. W tym celu powołuje komisję rewizyjną.
2. W skład komisji rewizyjnej wchodzą radni, z wyjątkiem radnych pełniących
  funkcje, o których mowa w art. 14 ust. 1, oraz radnych będących członkami
  zarządu.
3. Komisja rewizyjna opiniuje wykonanie budżetu powiatu i występuje z wnioskiem
  do rady powiatu w sprawie udzielenia lub nieudzielenia absolutorium
  zarządowi. Wniosek w sprawie absolutorium podlega  zaopiniowaniu przez
  regionalną izbę obrachunkową.
4. Komisja rewizyjna wykonuje inne zadania zlecone przez radę powiatu w
  zakresie kontroli. Uprawnienie to nie narusza uprawnień kontrolnych innych
  komisji powoływanych przez radę na podstawie art. 17."
Jakie są stawki kar za zniszczenie jednego metra kwadratowego terenu zieleni?;2004_880_85;"1. Opłatę za usunięcie drzew ustala się na podstawie stawki zależnej od obwodu
  pnia oraz rodzaju i gatunku drzewa.
2. Stawki opłat za usuwanie drzew nie mogą przekraczać za jeden centymetr
  obwodu pnia mierzonego na wysokości 130 cm:
   1) 270 zł - przy obwodzie do 25 cm;
   2) 410 zł - przy obwodzie od 26 do 50 cm;
   3) 640 zł - przy obwodzie od 51 do 100 cm;
   4) 1000 zł - przy obwodzie od 101 do 200 cm;
   5) 1500 zł - przy obwodzie od 201 do 300 cm;
   6) 2100 zł - przy obwodzie od 301 do 500 cm;
   7) 2700 zł - przy obwodzie od 501 do 700 cm;
   8) 3500 zł - przy obwodzie powyżej 700 cm.
3. Jeżeli drzewo rozwidla się na wysokości poniżej 130 cm, każdy pień traktuje
  się jako odrębne drzewo.
4. Minister właściwy do spraw środowiska określi, w drodze rozporządzenia:
   1) stawki dla poszczególnych rodzajów i gatunków drzew,
   2) współczynniki różnicujące stawki w zależności od obwodu pnia
 - kierując się zróżnicowanymi kosztami produkcji poszczególnych rodzajów i
  gatunków drzew oraz wielkościami przyrostu obwodu pni drzew.
5. Stawkę za usunięcie jednego metra kwadratowego powierzchni pokrytej krzewami
  ustala się w wysokości 200 zł.
6. Opłaty za usunięcie drzew lub krzewów z terenu uzdrowisk, obszaru ochrony
  uzdrowiskowej, terenu nieruchomości wpisanej do rejestru zabytków oraz
  terenów zieleni są o 100% wyższe od opłat ustalonych na podstawie stawek, o
  których mowa ust. 4 pkt 1 i ust. 5.
7. Stawki, o których mowa w ust. 2, ust. 4 pkt 1 i ust. 5, podlegają z dniem 1
  stycznia każdego roku waloryzacji o prognozowany średnioroczny wskaźnik cen
  towarów i usług konsumpcyjnych ogółem, przyjęty w ustawie budżetowej.
8. Minister właściwy do spraw środowiska, w terminie do dnia 31 października
  każdego roku, ogłasza, w drodze obwieszczenia w Dzienniku Urzędowym
  Rzeczypospolitej Polskiej ""Monitor Polski"", wysokość stawek, o których mowa w
  ust. 7 i art. 89 ust. 8."
W jakiej sytuacji przy przewozie na podstawie umowy bukingowej zawiadomienie frachtującego o czasie i miejscu ładowania statku jest zbędne?;2001_1545_116;"Przy przewozie na podstawie umowy bukingowej przewoźnik powinien w odpowiednim
terminie zawiadomić frachtującego o czasie i miejscu ładowania statku.
Zawiadomienie takie jest zbędne, gdy chodzi o statek obsługujący linię
regularną, chyba że termin ustalony w rozkładzie rejsów nie będzie mógł być
dotrzymany."
Których członków rodziny funkcjonariusza uwzględnia się przy przydziale lokalu?;2001_298_77;"Członkami rodziny funkcjonariusza, których uwzględnia się przy
przydziale lokalu, są pozostający z funkcjonariuszem we wspólnym
gospodarstwie domowym:
   1) małżonek,
   2) dzieci (własne lub małżonka, przysposobione lub przyjęte na
     wychowanie w ramach rodziny zastępczej) pozostające na jego
     utrzymaniu, nie dłużej jednak niż do ukończenia przez nie 25 lat
     życia,
   3) rodzice funkcjonariusza i jego małżonka będący na jego wyłącznym
     utrzymaniu lub jeżeli ze względu na wiek albo inwalidztwo, albo
     inne okoliczności są niezdolni do wykonywania zatrudnienia; za
     rodziców uważa się również ojczyma i macochę oraz osoby
     przysposabiające."
Kiedy ubezpieczyciel może odstąpić od umowy albo żądać zapłaty składki dodatkowej za zwiększone niebezbieczeństwo?;2001_1545_316;"§ 1. Jeżeli zmiana niebezpieczeństwa została spowodowana przez ubezpieczającego
     albo za jego zgodą, ubezpieczyciel może odstąpić od umowy albo żądać
     zapłaty składki dodatkowej za zwiększone niebezpieczeństwo, chyba że
     zmiany niebezpieczeństwa dokonano we wspólnym interesie ubezpieczyciela i
     ubezpieczającego albo w celu ratowania życia ludzkiego.
 § 2. Przy ubezpieczeniu zawartym na podróż prawo, o którym mowa w § 1,
     przysługuje ubezpieczycielowi, w szczególności:
   1) jeżeli rozpoczęcie lub zakończenie podróży ulega zwłoce z winy
     ubezpieczającego,
   2) jeżeli podjęto inną podróż zamiast podróży oznaczonej w umowie
     ubezpieczenia,
   3) jeżeli statek skierowano do innego portu niż przewidziano w umowie
     ubezpieczenia,
   4) jeżeli statek zszedł z właściwej trasy lub zawinął do portu, który nie
     był brany w rachubę, chyba że zejście z trasy nastąpiło wskutek
     okoliczności niezależnych od armatora lub kapitana albo w celu ratowania
     życia ludzkiego lub mienia bądź było konieczne ze względu na
     bezpieczeństwo statku.
 § 3.  Jeżeli zmiana niebezpieczeństwa nastąpiła bez zgody ubezpieczającego,
     umowa ubezpieczenia pozostaje w mocy, jednak ubezpieczyciel może żądać
     zapłaty dodatkowej składki za zwiększone niebezpieczeństwo."
Kiedy ulegają przedawnieniu roszczenia z tytułu prawa do uposażenia?;2002_1070_82;"1. Roszczenia
z tytułu prawa do uposażenia i innych świadczeń oraz należności pieniężnych
ulegają przedawnieniu z upływem 3 lat od dnia, w którym roszczenie stało się
wymagalne.
2. Organ
właściwy do rozpatrywania roszczeń może nie uwzględnić przedawnienia, jeżeli
opóźnienie w dochodzeniu roszczenia jest usprawiedliwione wyjątkowymi okolicznościami.
3. Bieg
przedawnienia roszczenia z tytułu uposażenia i innych świadczeń oraz należności
pieniężnych przerywa:
1)   każda
czynność przed odpowiednio Szefem SKW albo Szefem SWW lub kierownikiem jednostki
organizacyjnej odpowiednio SKW albo SWW, podjęta bezpośrednio w celu dochodzenia
lub ustalenia albo zaspokojenia roszczenia;
2)   uznanie
roszczenia."
Kiedy ulegają przedawnieniu roszczenia z tytułu prawa do uposażenia?;2003_1750_75;"1. Roszczenia z tytułu prawa do uposażenia i innych należności, o których mowa
  w art. 73, ulegają przedawnieniu z upływem trzech lat od dnia, w którym
  roszczenie stało się wymagalne.
 2. Bieg przedawnienia roszczenia z tytułu prawa do uposażenia i innych
  należności, o których mowa w art. 73, przerywa:
   1) każda czynność przed organem właściwym do rozpatrzenia roszczenia podjęta
     bezpośrednio w celu dochodzenia lub ustalenia albo zaspokojenia
     roszczenia;
   2) uznanie roszczenia.
3. W razie zwłoki w wypłacie uposażenia i innych należności, o których mowa w
  art. 73, żołnierzowi zawodowemu przysługują odsetki ustawowe od dnia, w
  którym uposażenie lub inna należność pieniężna stały się wymagalne."
Których członków rodziny funkcjonariusza uwzględnia się przy przydziale lokalu?;2002_1070_63;"Członkami
rodziny funkcjonariusza, których uwzględnia się przy przydziale lokalu
mieszkalnego, są pozostający z funkcjonariuszem we wspólnym gospodarstwie domowym:
1)   małżonek;
2)   dzieci własne
lub małżonka, przysposobione lub przyjęte na wychowanie w ramach rodziny zastępczej,
pozostające na jego utrzymaniu do czasu ukończenia 18 roku życia, a w razie
uczęszczania do szkoły lub odbywania studiów w szkole wyższej - do czasu
ukończenia nauki, nie dłużej jednak niż do ukończenia przez nie 25 roku życia,
chyba że przed osiągnięciem takiego wieku orzeczono o ich całkowitej niezdolności
do pracy;
3)   rodzice
funkcjonariusza i jego małżonka będący na jego wyłącznym utrzymaniu lub jeżeli
ze względu na wiek albo całkowitą lub częściową niezdolność do pracy albo inne
okoliczności są niezdolni do wykonywania zatrudnienia; za rodziców uważa się
również ojczyma i macochę oraz osoby przysposabiające."
Jakie instytucje są organami dochodzenia w sprawach o przestępstwa skarbowe i wykroczenia?;1999_930_134;"§ 1. Dochodzenie prowadzą także:
   1) Straż Graniczna - w sprawach o przestępstwa skarbowe i wykroczenia
     skarbowe wymienione w art. 133 § 1 pkt 1, ujawnione w zakresie swego
     działania przez Straż Graniczną,
   2) Policja - w sprawach o przestępstwa skarbowe i wykroczenia skarbowe
     ujawnione w zakresie swego działania przez Policję,
   3) Urząd Ochrony Państwa "" w sprawach o przestępstwa skarbowe ujawnione w
     zakresie swego działania przez ten urząd,
   4) Żandarmeria Wojskowa - w sprawach o przestępstwa skarbowe i wykroczenia
     skarbowe popełnione przez osoby wymienione w art. 53 § 36.
 § 2. Organy określone w § 1 pkt 1-3 zawiadamiają niezwłocznie o prowadzeniu
     dochodzenia właściwe finansowe organy dochodzenia przez przesłanie odpisu
     postanowienia o jego wszczęciu, chyba że ograniczą swoje czynności
     do zabezpieczenia śladów i dowodów przestępstwa skarbowego lub wykroczenia
     skarbowego oraz przekazania sprawy do dalszego prowadzenia tym organom.
 § 3. Organ określony w § 1 pkt 4 o wszczęciu dochodzenia zawiadamia
     niezwłocznie właściwą prokuraturę wojskową.
 § 4. W razie zgłoszenia przez sprawcę czynu zabronionego wniosku o zezwolenie
     na dobrowolne poddanie się odpowiedzialności, przekazanie sprawy
     właściwemu finansowemu organowi dochodzenia jest obowiązkowe.
 § 5. Przepisy § 1, 2 i 4 stosuje się odpowiednio w wypadku, gdy organ określony
     w § 1 pkt 1-3 jest właściwy do prowadzenia dochodzenia w sprawie o czyn
     zabroniony będący przestępstwem określonym w przepisach karnych innej
     ustawy, który wyczerpuje zarazem znamiona przestępstwa skarbowego lub
     wykroczenia skarbowego."
Jaki procent uprawnionych do głosowania musi wziąć udział w referendum, żeby było ono ważne?;1995_436_11;"1. Referendum przeprowadza się z inicjatywy rady lub na wniosek co najmniej 10%
  mieszkańców uprawnionych do głosowania.
2. Referendum  jest ważne, jeżeli wzięło w nim udział co najmniej 30%
  uprawnionych do głosowania.
3. Referendum w sprawie odwołania rady powiatu przed upływem kadencji
  przeprowadza się na zasadach określonych w ust. 1 i 2, nie wcześniej jednak
  niż po upływie 12 miesięcy od dnia wyborów lub od dnia ostatniego referendum
  w sprawie odwołania rady powiatu przed upływem kadencji i nie później niż 6
  miesięcy przed upływem kadencji.
4. Zasady i tryb przeprowadzania referendum określa odrębna ustawa."
W ciągu ilu dni od ogłoszenia wyników wyborów przez Państwową Komisję Wyborczą można wnieść protest?;2001_499_79;"1. Protest wnosi się na piśmie do Sądu Najwyższego w terminie 7 dni od dnia
  ogłoszenia wyników wyborów przez Państwową Komisję Wyborczą w Dzienniku
  Ustaw Rzeczypospolitej Polskiej. Nadanie w tym terminie protestu w polskim
  urzędzie pocztowym jest równoznaczne z wniesieniem go do Sądu Najwyższego.
2. W odniesieniu do wyborcy przebywającego za granicą lub na polskim statku
  morskim wymogi wymienione w ust. 1 uważa się za spełnione, jeżeli protest
  został złożony odpowiednio właściwemu terytorialnie konsulowi lub
  kapitanowi statku. Wyborca obowiązany jest dołączyć do protestu
  zawiadomienie o ustanowieniu swojego pełnomocnika zamieszkałego w kraju lub
  pełnomocnika do doręczeń zamieszkałego w kraju, pod rygorem pozostawienia
  protestu bez biegu.
3. Wnoszący protest powinien sformułować w nim zarzuty oraz przedstawić lub
  wskazać dowody, na których opiera swoje zarzuty."
Kiedy ulegają przedawnieniu roszczenia z tytułu prawa do uposażenia?;1999_802_83;"1. Roszczenia z tytułu prawa do uposażenia i innych świadczeń oraz należności
  pieniężnych ulegają przedawnieniu z upływem 3 lat od dnia, w którym
  roszczenie stało się wymagalne.
2. Kierownik urzędu może nie uwzględnić przedawnienia, jeżeli opóźnienie w
  dochodzeniu roszczenia jest usprawiedliwione wyjątkowymi okolicznościami.
3. Bieg przedawnienia roszczenia z tytułu uposażenia i innych świadczeń oraz
  należności pieniężnych przerywa:
   1) każda czynność przed kierownikiem urzędu właściwym do rozpatrywania
     roszczeń, podjęta bezpośrednio w celu dochodzenia lub ustalenia albo
     zaspokojenia roszczenia,
   2) uznanie roszczenia.
                                       
                                 Rozdział  14
                      Zmiany w przepisach obowiązujących"
Kto wchodzi w skład komisji rewizyjnej powoływanej przez radę powiatu?;1998_576_30;"1. Sejmik województwa kontroluje działalność zarządu województwa oraz
  wojewódzkich samorządowych jednostek organizacyjnych. W tym celu powołuje
  komisję rewizyjną.
2. W skład komisji rewizyjnej wchodzą radni, w tym przedstawiciele wszystkich
  klubów. Członkostwa w komisji rewizyjnej nie można łączyć z funkcjami
  marszałka województwa, przewodniczącego i wiceprzewodniczących sejmiku
  województwa oraz radnych będących członkami zarządu województwa.
3. Komisja rewizyjna opiniuje wykonanie budżetu i występuje z wnioskiem do
  sejmiku województwa w sprawie udzielenia lub nieudzielenia absolutorium
  zarządowi województwa. Wniosek ten podlega zaopiniowaniu przez regionalną
  izbę obrachunkową."
W jakich przypadkach na towary rolne dopuszczone do wolnego obiegu mogą być nałożone dodatkowe opłaty celne?;1995_485_3;"1. Na towary rolne dopuszczone do wolnego obrotu mogą być nałożone opłaty
   celne dodatkowe, jeżeli:
   1) ilość towaru rolnego, wprowadzanego na polski obszar celny i zgłaszanego
     organom celnym w celu dopuszczenia do wolnego obrotu, przekroczy
     w roku kalendarzowym wielkość progową, albo
   2) jednostkowa ceny importowa towaru rolnego, wprowadzanego na polski 
     obszar celny i zgłaszanego organom celnym w celu dopuszczenia do wolnego
     obrotu, jest niższa od ceny progu.
 2. Opłaty celnej dodatkowej nie pobiera się od towarów rolnych wprowadzanych
   na polski obszar celny, zwolnionych od cła na podstawie odrębnych 
   przepisów."
